,occurance_count
4/2/2012,413
4/3/2012,423
4/4/2012,430
4/5/2012,437
4/6/2012,462
4/7/2012,368
4/8/2012,297
4/9/2012,397
4/10/2012,389
4/11/2012,393
4/12/2012,422
4/13/2012,428
4/14/2012,356
4/15/2012,386
4/16/2012,432
4/17/2012,403
4/18/2012,488
4/19/2012,399
4/20/2012,500
4/21/2012,410
4/22/2012,331
4/23/2012,426
4/24/2012,442
4/25/2012,469
4/26/2012,420
4/27/2012,491
4/28/2012,412
4/29/2012,385
4/30/2012,440
5/1/2012,542
5/2/2012,444
5/3/2012,464
5/4/2012,496
5/5/2012,424
5/6/2012,385
5/7/2012,435
5/8/2012,440
5/9/2012,479
5/10/2012,476
5/11/2012,505
5/12/2012,434
5/13/2012,340
5/14/2012,433
5/15/2012,473
5/16/2012,455
5/17/2012,494
5/18/2012,480
5/19/2012,391
5/20/2012,391
5/21/2012,458
5/22/2012,479
5/23/2012,484
5/24/2012,437
5/25/2012,523
5/26/2012,463
5/27/2012,329
5/28/2012,391
5/29/2012,464
5/30/2012,459
5/31/2012,443
6/1/2012,613
6/2/2012,408
6/3/2012,410
6/4/2012,421
6/5/2012,487
6/6/2012,503
6/7/2012,457
6/8/2012,526
6/9/2012,397
6/10/2012,394
6/11/2012,450
6/12/2012,458
6/13/2012,480
6/14/2012,476
6/15/2012,531
6/16/2012,444
6/17/2012,351
6/18/2012,484
6/19/2012,446
6/20/2012,474
6/21/2012,479
6/22/2012,508
6/23/2012,500
6/24/2012,451
6/25/2012,463
6/26/2012,480
6/27/2012,514
6/28/2012,502
6/29/2012,529
6/30/2012,430
7/1/2012,477
7/2/2012,454
7/3/2012,479
7/4/2012,398
7/5/2012,457
7/6/2012,499
7/7/2012,443
7/8/2012,382
7/9/2012,488
7/10/2012,484
7/11/2012,518
7/12/2012,508
7/13/2012,530
7/14/2012,483
7/15/2012,408
7/16/2012,455
7/17/2012,479
7/18/2012,489
7/19/2012,508
7/20/2012,477
7/21/2012,448
7/22/2012,410
7/23/2012,485
7/24/2012,482
7/25/2012,529
7/26/2012,496
7/27/2012,539
7/28/2012,464
7/29/2012,404
7/30/2012,486
7/31/2012,491
8/1/2012,506
8/2/2012,503
8/3/2012,513
8/4/2012,475
8/5/2012,420
8/6/2012,491
8/7/2012,517
8/8/2012,505
8/9/2012,534
8/10/2012,539
8/11/2012,477
8/12/2012,425
8/13/2012,462
8/14/2012,467
8/15/2012,463
8/16/2012,522
8/17/2012,541
8/18/2012,442
8/19/2012,372
8/20/2012,546
8/21/2012,471
8/22/2012,459
8/23/2012,481
8/24/2012,568
8/25/2012,441
8/26/2012,420
8/27/2012,452
8/28/2012,487
8/29/2012,484
8/30/2012,487
8/31/2012,493
9/1/2012,527
9/2/2012,416
9/3/2012,454
9/4/2012,476
9/5/2012,483
9/6/2012,438
9/7/2012,511
9/8/2012,408
9/9/2012,371
9/10/2012,476
9/11/2012,468
9/12/2012,494
9/13/2012,483
9/14/2012,476
9/15/2012,459
9/16/2012,398
9/17/2012,437
9/18/2012,438
9/19/2012,442
9/20/2012,494
9/21/2012,538
9/22/2012,507
9/23/2012,442
9/24/2012,470
9/25/2012,487
9/26/2012,475
9/27/2012,493
9/28/2012,494
9/29/2012,455
9/30/2012,395
10/1/2012,542
10/2/2012,482
10/3/2012,532
10/4/2012,544
10/5/2012,562
10/6/2012,440
10/7/2012,348
10/8/2012,405
10/9/2012,445
10/10/2012,475
10/11/2012,514
10/12/2012,540
10/13/2012,460
10/14/2012,373
10/15/2012,453
10/16/2012,446
10/17/2012,488
10/18/2012,494
10/19/2012,481
10/20/2012,487
10/21/2012,392
10/22/2012,430
10/23/2012,429
10/24/2012,447
10/25/2012,440
10/26/2012,497
10/27/2012,426
10/28/2012,402
10/29/2012,359
10/30/2012,326
10/31/2012,341
11/1/2012,415
11/2/2012,356
11/3/2012,336
11/4/2012,293
11/5/2012,387
11/6/2012,362
11/7/2012,339
11/8/2012,395
11/9/2012,483
11/10/2012,454
11/11/2012,372
11/12/2012,446
11/13/2012,447
11/14/2012,473
11/15/2012,448
11/16/2012,526
11/17/2012,413
11/18/2012,337
11/19/2012,491
11/20/2012,459
11/21/2012,496
11/22/2012,271
11/23/2012,516
11/24/2012,426
11/25/2012,344
11/26/2012,476
11/27/2012,425
11/28/2012,489
11/29/2012,468
11/30/2012,558
12/1/2012,513
12/2/2012,385
12/3/2012,441
12/4/2012,441
12/5/2012,483
12/6/2012,429
12/7/2012,518
12/8/2012,449
12/9/2012,357
12/10/2012,490
12/11/2012,432
12/12/2012,488
12/13/2012,458
12/14/2012,576
12/15/2012,452
12/16/2012,358
12/17/2012,480
12/18/2012,424
12/19/2012,503
12/20/2012,555
12/21/2012,533
12/22/2012,463
12/23/2012,457
12/24/2012,395
12/25/2012,203
12/26/2012,374
12/27/2012,408
12/28/2012,471
12/29/2012,392
12/30/2012,329
12/31/2012,445
1/1/2013,429
1/2/2013,404
1/3/2013,405
1/4/2013,488
1/5/2013,406
1/6/2013,331
1/7/2013,431
1/8/2013,415
1/9/2013,456
1/10/2013,425
1/11/2013,450
1/12/2013,404
1/13/2013,362
1/14/2013,410
1/15/2013,417
1/16/2013,386
1/17/2013,432
1/18/2013,481
1/19/2013,408
1/20/2013,361
1/21/2013,293
1/22/2013,354
1/23/2013,374
1/24/2013,371
1/25/2013,454
1/26/2013,366
1/27/2013,312
1/28/2013,403
1/29/2013,425
1/30/2013,470
1/31/2013,423
2/1/2013,450
2/2/2013,383
2/3/2013,326
2/4/2013,390
2/5/2013,384
2/6/2013,398
2/7/2013,370
2/8/2013,352
2/9/2013,257
2/10/2013,300
2/11/2013,400
2/12/2013,399
2/13/2013,448
2/14/2013,385
2/15/2013,458
2/16/2013,373
2/17/2013,330
2/18/2013,376
2/19/2013,386
2/20/2013,389
2/21/2013,353
2/22/2013,454
2/23/2013,382
2/24/2013,355
2/25/2013,346
2/26/2013,409
2/27/2013,428
2/28/2013,396
3/1/2013,469
3/2/2013,327
3/3/2013,303
3/4/2013,370
3/5/2013,401
3/6/2013,388
3/7/2013,404
3/8/2013,439
3/9/2013,362
3/10/2013,319
3/11/2013,423
3/12/2013,389
3/13/2013,455
3/14/2013,405
3/15/2013,491
3/16/2013,348
3/17/2013,339
3/18/2013,426
3/19/2013,391
3/20/2013,404
3/21/2013,367
3/22/2013,471
3/23/2013,407
3/24/2013,331
3/25/2013,382
3/26/2013,390
3/27/2013,377
3/28/2013,405
3/29/2013,437
3/30/2013,375
3/31/2013,290
4/1/2013,465
